uBenchMark,yBenchMark,yBenchMarkClean,fs
0.571652990945911,0.003735826121297907,0.0,51200
0.6059012598383688,-0.003457894443395329,4.626395e-05,51200
0.6312146438293151,0.004392642401905266,0.0003781343,51200
0.6458418884519489,-0.0012717767173321456,0.001530464,51200
0.648332534550533,0.013312390921932885,0.0042145257,51200
0.6376254460035278,0.004998366739274361,0.009139337,51200
0.6131252285782125,0.018173589215329754,0.016976202,51200
0.574762037444921,0.024464514833626598,0.028374603,51200
0.5230308501902069,0.05500751202471705,0.043894034,51200
0.45900709601151307,0.057673956648029844,0.06386306,51200
0.3843365472214114,0.09086748870403036,0.088245675,51200
0.301198551078914,0.11289965338577522,0.116574205,51200
0.21224295299071105,0.1461911826170017,0.14796172,51200
0.12050237352857317,0.18344360655573455,0.18117592,51200
0.029282784468286544,0.22086948681482443,0.21474656,51200
-0.057963484610415686,0.25519964837412495,0.24708267,51200
-0.13777715261435006,0.2688984549325344,0.2765832,51200
-0.20683784432884936,0.30307081941527936,0.30173206,51200
-0.26210990032515336,0.32846997363405933,0.3211725,51200
-0.3009814084853856,0.32533361743486766,0.33376017,51200
-0.3213898195827926,0.34018256657916096,0.33861065,51200
-0.32192793312321394,0.33514649858492057,0.33515692,51200
-0.30192478161513236,0.3252324335458522,0.32315972,51200
-0.26149697257562426,0.2988397444931949,0.30270126,51200
-0.20156732326206261,0.2670318224505771,0.27420992,51200
-0.12384908509707988,0.22890804716163388,0.23847358,51200
-0.03079563394180967,0.20151896908467043,0.19663705,51200
0.07448287775213341,0.15570112193745217,0.15018088,51200
0.188332830420886,0.10239332690243155,0.1008799,51200
0.3066958705324957,0.048070580590140605,0.050741322,51200
0.4252672618390689,-0.006190262539710939,0.0019249669,51200
0.5396670417096442,-0.04053355574397245,-0.043350283,51200
0.6456164761986842,-0.08845470452203635,-0.08295081,51200
0.7391119671715448,-0.11852424909714177,-0.114967756,51200
0.8165885988804402,-0.14072192080636767,-0.1377891,51200
0.8750659225423935,-0.1511664066163083,-0.15017873,51200
0.9122693492921672,-0.1551564590738881,-0.15136126,51200
0.926721619481214,-0.1409009560859107,-0.14106825,51200
0.9178001879299699,-0.12265524415384192,-0.11954615,51200
0.8857579443393878,-0.08402280884820532,-0.087529674,51200
0.8317063985036608,-0.04103173607064277,-0.04618705,51200
0.757562216963065,0.003497815741880874,0.0029551024,51200
0.6659597141687237,0.060412133322947384,0.058099,51200
0.5601334916114804,0.12785639665238818,0.11726712,51200
0.4437768032731536,0.17252788897673316,0.1783909,51200
0.320882335974741,0.2332240907060247,0.23939143,51200
0.1955728733412203,0.3017231315078974,0.29824814,51200
0.07192972354940864,0.36278685022540036,0.35305414,51200
-0.04617318604526352,0.40075500588377255,0.4020575,51200
-0.15522200983299875,0.4523246480128211,0.44369048,51200
-0.2521956768610543,0.4770716396957283,0.47658947,51200
-0.3346728357848495,0.4962048551433019,0.4996093,51200
-0.4009086493877437,0.5068825899977295,0.51183605,51200
-0.4498785778159635,0.5157636426886857,0.5126166,51200
-0.48128795539925745,0.4970633191134486,0.5016381,51200
-0.4955478696129425,0.4793413576921524,0.47893497,51200
-0.49371950465814235,0.4527770086405618,0.44485968,51200
-0.4774306316080519,0.39858757826215985,0.40012148,51200
-0.4487692348997125,0.3523722054905138,0.34580216,51200
-0.4101602955093947,0.27726702139719317,0.28333974,51200
-0.3642324537989729,0.21181566765393084,0.21448521,51200
-0.31368161676086637,0.1342013301638015,0.14123705,51200
-0.26113854155097055,0.06612478415437469,0.0657598,51200
-0.2090470261006797,-0.00580687556624653,-0.009707266,51200
-0.15955859412988208,-0.08256965726340416,-0.08294559,51200
-0.11444852003532346,-0.14571561399134034,-0.15185086,51200
-0.07505675855839596,-0.21826548634253468,-0.21451959,51200
-0.042255896879738436,-0.26819732068399305,-0.26932403,51200
-0.01644671331705903,-0.31760965787638534,-0.3149723,51200
0.002419608371078321,-0.3487422090185299,-0.3505506,51200
0.014795013005451685,-0.37302756653598196,-0.37554625,51200
0.021467552145441365,-0.38693956052715184,-0.38985154,51200
0.02347856365247653,-0.39910131468205323,-0.39374834,51200
0.02202958473064761,-0.39232419804776647,-0.38787547,51200
0.018384978692052353,-0.376702841224214,-0.3731814,51200
0.013776355604256055,-0.35205967840707286,-0.35086527,51200
0.009314616484373251,-0.3218736216021673,-0.32230955,51200
0.005914867225952192,-0.2854674863384247,-0.28900793,51200
0.00423856793885679,-0.25673348756674924,-0.252493,51200
0.00465615831034679,-0.22227281230023818,-0.21426772,51200
0.007232095976061895,-0.16496408918808592,-0.1757428,51200
0.011732838600667789,-0.14384063533584424,-0.13818337,51200
0.017656872902817658,-0.09848555661838634,-0.102667175,51200
0.02428452776755202,-0.06989959742032095,-0.07005593,51200
0.0307440828552164,-0.03972385554974465,-0.040980384,51200
0.03608966972672446,-0.015846608406698166,-0.015838856,51200
0.03938571845704242,0.003267386349507145,0.0051915958,51200
0.03979227267215657,0.02445301062125563,0.02213315,51200
0.036645405772027344,0.03298340073400283,0.035176337,51200
0.02952722732243589,0.05047445017450602,0.044642936,51200
0.01832055798407668,0.053787539167766824,0.050945334,51200
0.0032442415779997966,0.05754320172990921,0.05454523,51200
-0.015133795716199336,0.05337870102609683,0.055914316,51200
-0.0359073007984911,0.054317597455750315,0.05549937,51200
-0.05786638586159781,0.047754151439739885,0.053693715,51200
-0.07955481086934305,0.049051470567240414,0.05081655,51200
-0.0993470968500193,0.04191821201172247,0.04710109,51200
-0.11554143565451838,0.04925878989959694,0.042693447,51200
